st	energ
2	0.500000000
3	1.732050808
4	3.674234614
5	6.474691495
6	9.9852813
7	14.452977414
8	19.675287861
9	25.759986531
10	32.716949460
11	40.596450510
12	49.1652530
13	58.853230612
14	69.306363297
15	80.670244114
16	92.911655302
17	106.050404829
18	120.084467447
19	135.089467557
20	150.881568334
21	167.641622399
22	185.287536149
23	203.930190663
24	223.347074052
25	243.812760299
26	265.133326317
27	287.302615033
28	310.491542358
29	334.634439920
30	359.603945904
31	385.530838063
32	412.2612746
33	440.204057448
34	468.904853281
35	498.569872491
36	529.122408375
37	560.618887731
38	593.038503566
39	626.389009017
40	660.675278835
41	695.916744342
42	732.078107544
43	769.190846459
44	807.1742630
45	846.188401061
46	886.167113639
47	927.059270680
48	968.713455344
49	1011.557182654
50	1055.182314726
51	1099.819290319
52	1145.418964319
53	1191.922290416
54	1239.361474729
55	1287.772720783
56	1337.094945276
57	1387.383229253
58	1438.618250640
59	1490.773335279
60	1543.830400976
61	1597.941830199
62	1652.909409898
63	1708.879681503
64	1765.802577927
65	1823.667960264
66	1882.441525304
67	1942.122700406
68	2002.874701749
69	2064.533483235
70	2127.100901551
71	2190.649906425
72	2255.001190975
73	2320.633883745
74	2387.072981838
75	2454.369689040
76	2522.674871841
77	2591.850152354
78	2662.0464745
79	2733.248357479
80	2805.355875981
81	2878.522829664
82	2952.569675286
83	3027.528488921
84	3103.465124431
85	3180.361442939
86	3258.211605713
87	3337.000750014
88	3416.720196758
89	3497.439018625
90	3579.091222723
91	3661.713699320
92	3745.291636241
93	3829.844338421
94	3915.309269620
95	4001.771675565
96	4089.154010060
97	4177.533599622
98	4266.822464156
99	4357.139163132
100	4448.350634331
